1,1,0
35431647464998573718552919823004488760771229264393138174232559921499738866764,51761785065986075120110112522333076106051831344763694879314776548289021112348,45677794633124116484905012292808417344089411726268960313820023589848731296798
50299971736297343791085200304461760426288071020401428401398212765158915412170,5133653908928803486160893975486170044972679758891083527335656774994530720772,29458921944565684452866833157424891961510234018316853822970601035406822798985
12842416798011156883753224634944949925524075290047517346382999145533771630403,4240843743124667621180581891751056116308186173262715458674113717533556802311,35630558378336843597796691250672691033491280528646409321561930978937115332944
23898822765542199396273506211213294509665800628143658129218561620737575158909,51626357972505350370201695016236178661907430057513120017974720330647689883428,28210887451111946256575798332848348470356958417698898281675215919988584012831
35982246807762922006232915167074213258897924650750762520465534389688942989380,38080908106909769716407098082040963856534778663512874573163111328188799585740,5838990174210894835741008981054087931724386517340393242181536945212427680132
32561282073176392494785766750869760986026139163815010293675635930604243098292,31782131116267638766314999136528415736459352089376706524739562019223534329002,15933780368174201204064839811523002571678250567463771464997261726745497908431
48321386080528452437821782468648384843312646107993042803014447228177721793460,15489752038968268793933472572082276077733369589791636126224099554659870118116,54136475045164767593012996231641109341794063663215490469058251251639852198092
43601474927689637610873740186558305478320146055205392604009321148860285096837,14456564903193543103885340560634224297571333090603838172225783578396175198515,52141776679787239227963570092968175128318062227683595297461552142955887047451
26864888527250409322791922807715667696081385569647497248844817544517661391688,18614380607218514435547313026513813012511432435511546833507106837033204693184,52511401170640902514453550730980639154868749716479103483124901977608185155707
42679977384703830075671516214053488578042144103687626655842310995512840087777,9512932779973536753738539095836273538317041538326886265354861667051184605565,23618980884904759423558309564319374025963161271799009995826298444589050504652
57276461861604930692594749592741402330711766445272204206737628186972584043343,29105842065467494097929679340458273414830348753364889745396365022123788682864,1935179209768653424343985494522175266982962733147113106779090177967589075910
45488764636981174531185268672430808699377264560371564162422092524776322735931,2362674990946329783762288803566189277678338132377839512095422976184648336566,26897645885238205762256639130420452134881151419647876436494054223882855593854
39617146015435595580198969827343948245008874692757989136124361602289538641745,21307243722378927125549305362870788504399158938616244373229681556292363661020,56885837457941781562472970038992446743422097347317904955514079018245209252097
31665967997220666851593795784134357236030028246116103584951692369058169490951,47425840816932208131362344628952987808096092593029857680245068981808088159167,40472227696996452546474527563966496634748169218671937352763551414759779998474
15385557713224029867281257145400889081930272403284759251720922693087675461594,39445527751814555874793047655084067709977521182291544701709179943839959089639,28079401432415238381515489404832745715312834731665360456590633702148863244439
31281531073294076002803251866252080621671175342483739605933975970053912038172,2723575024975080476077979281352899010059706772913945434380772776668324916402,29969362672921921405415144830744041548729654533984070056709936996590350825848
14198977838107844423350980669732149783106163093486709322927548531808205360363,26207804833886501686392441913040961723434009432887731955725375823706392296860,36586255346481775056529692487520681899885540859407913809578303813578201993131
